Program Name/Major,Academic Division/School,Degree Level,Graduation Date,Job Title,Employing Organization,Position Location - State
Computer Science,School of Engineering,Bachelor's,5/15/2022,Data Analyst,RBC Wealth Management,MN
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2025,Creative Director,KPMG,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Research Scientist,KPMG,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2023,HR Coordinator,Land O'Lakes,NY
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2022,Scientist,AmeriCorps,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Real Estate Analyst,KPMG,CA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2021,Management Consultant,Mortenson,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2023,Coordinator,3M,ND
Electrical Engineering,School of Engineering,Bachelor's,5/15/2025,Data Analyst,Donaldson Company,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Research Scientist,Mortenson,NY
Economics - Business,Opus College of Business,Bachelor's,5/15/2021,Underwriter,Ameriprise Financial,WA
Accounting,Opus College of Business,Bachelor's,5/15/2020,Field Engineer,Mortenson,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Marketing Coordinator,Cargill,CA
Software Engineering,School of Engineering,Bachelor's,5/15/2020,Web Developer,Target (Tech),MN
Sociology,College of Arts and Sciences,Bachelor's,5/15/2024,Program Coordinator,Best Buy,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Business Development Associate,Target (Tech),MN
Economics,College of Arts and Sciences,Bachelor's,5/15/2022,Strategy Analyst,Minneapolis Public Schools,OH
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2020,Social Worker,Accenture,MN
Computer Science,School of Engineering,Bachelor's,5/15/2023,Site Supervisor,Microsoft,FL
COJO Journalism,College of Arts and Sciences,Bachelor's,5/15/2019,Visual Designer,KPMG,MN
Computer Science,School of Engineering,Bachelor's,5/15/2020,Teacher,Accenture,SD
Educational Studies,School of Education,Bachelor's,5/15/2021,Property Manager,University of St. Thomas,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Marketing Coordinator,Ameriprise Financial,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,Contract Specialist,KPMG,MN
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2021,Program Coordinator,Deloitte,MA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Office Manager,Land O'Lakes,GA
Computer Science,School of Engineering,Bachelor's,5/15/2025,Mechanical Engineer,NextEra Energy,SD
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Administrative Assistant,Sleep Number,MN
Economics - Business,Opus College of Business,Bachelor's,5/15/2024,Assistant Manager,Peace Corps,SD
Music - Business,College of Arts and Sciences,Bachelor's,5/15/2019,Visual Designer,Medtronic,IL
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2023,Software Engineer,Minneapolis Public Schools,MA
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Operations Director,Sleep Number,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Brand Manager,Honeywell,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Program Manager,Cargill,MN
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2021,UX Designer,Mortenson,CO
Human Resources Management,Opus College of Business,Bachelor's,5/15/2023,Underwriter,UnitedHealth Group,CO
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Underwriter,Ameriprise Financial,GA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Operations Manager,Donaldson Company,TX
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Underwriter,Cargill,NY
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Business Development Associate,Fastenal,WI
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Team Lead,US Bank,MN
Data Science,School of Engineering,Bachelor's,5/15/2022,Operations Manager,General Mills,CA
Accounting,Opus College of Business,Bachelor's,5/15/2021,Financial Analyst,EY,OH
Accounting,Opus College of Business,Bachelor's,5/15/2022,Office Coordinator,KPMG,CO
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Software Engineer,US Bank,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Program Coordinator,General Mills,TX
Data Science,School of Engineering,Bachelor's,5/15/2024,DevOps Engineer,3M,MN
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2024,Grant Writer,Best Buy,NE
Operations Management,Opus College of Business,Bachelor's,5/15/2019,Accountant,KPMG,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2022,Community Outreach Specialist,UnitedHealth Group,MN
History,College of Arts and Sciences,Bachelor's,5/15/2025,Research Scientist,St. Paul Public Schools,IA
Biology,College of Arts and Sciences,Bachelor's,5/15/2025,Operations Director,Abbott Laboratories,WA
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Account Manager,EY,IA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2021,Tax Associate,US Bank,NY
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Civil Engineer,CBRE Group,CO
Data Science,School of Engineering,Bachelor's,5/15/2019,Web Developer,NextEra Energy,MN
Human Resources Management,Opus College of Business,Bachelor's,5/15/2023,Tax Associate,General Mills,TX
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Web Developer,AWS,WI
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2024,Estimator,McGough Construction,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,IT Analyst,Google,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2020,Software Engineer,Kraus-Anderson,CA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,City Planner,EY,CO
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2020,Data Scientist,Donaldson Company,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Recruiter,Ameriprise Financial,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Content Strategist,Children's Minnesota,FL
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2022,Government Affairs Specialist,Fairview,IL
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2019,Auditor,McGough Construction,WI
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2022,Operations Analyst,EY,NE
Software Engineering,School of Engineering,Bachelor's,5/15/2023,Content Strategist,Toro Company,MN
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2023,Scientist,St. Paul Public Schools,IA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2025,Grant Writer,Osseo Area Schools,MN
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2025,Lab Technician,Medtronic,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Research Assistant,Microsoft,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Operations Director,Ameriprise Financial,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Underwriter,Cargill,TX
Social Work,School of Education,Bachelor's,5/15/2020,Community Outreach Specialist,St. Paul Public Schools,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Program Manager,Sleep Number,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Creative Director,Kraus-Anderson,WA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2023,PR Specialist,Ameriprise Financial,WI
Data Science,School of Engineering,Bachelor's,5/15/2023,Data Scientist,IBM,IL
Political Science,College of Arts and Sciences,Bachelor's,5/15/2021,UX Designer,Sleep Number,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Design Engineer,Wells Fargo,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Project Manager,Ameriprise Financial,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Account Executive,Fastenal,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Project Manager,Children's Minnesota,WI
Computer Engineering,School of Engineering,Bachelor's,5/15/2020,Associate,Cargill,MA
Economics - Business,Opus College of Business,Bachelor's,5/15/2023,Software Engineer,KPMG,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Financial Analyst,3M,IL
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2025,Teacher,Securian Financial,GA
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,Lab Technician,KPMG,IA
Civil Engineering,School of Engineering,Bachelor's,5/15/2024,DevOps Engineer,Accenture,NY
Social Work,School of Education,Bachelor's,5/15/2022,Property Manager,Boston Consulting Group,TX
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Auditor,PwC,NY
Data Analytics,School of Engineering,Bachelor's,5/15/2025,Electrical Engineer,CenterPoint Energy,MN
Human Resources Management,Opus College of Business,Bachelor's,5/15/2024,Brand Manager,State of Minnesota,IA
Civil Engineering,School of Engineering,Bachelor's,5/15/2022,Underwriter,McGough Construction,IL
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2024,Lab Technician,Children's Minnesota,NY
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2025,Office Manager,Optum,MN
English,College of Arts and Sciences,Bachelor's,5/15/2020,Teaching Assistant,UnitedHealth Group,FL
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2025,Benefits Analyst,Optum,IA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2021,Financial Analyst,McKinsey,IL
Operations Management,Opus College of Business,Bachelor's,5/15/2022,IT Analyst,Boston Consulting Group,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Strategy Analyst,EY,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Web Developer,Deloitte,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Creative Director,Wells Fargo,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2023,PR Specialist,Deloitte,WA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Construction Manager,State of Minnesota,OH
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2024,Social Media Manager,Abbott Laboratories,NE
Software Engineering,School of Engineering,Bachelor's,5/15/2024,Grant Writer,Ryan Companies,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Web Developer,State of Minnesota,MN
Public Health,College of Arts and Sciences,Bachelor's,5/15/2022,Registered Nurse,Fairview,TX
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2024,Clinical Research Coordinator,RBC Wealth Management,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Teaching Assistant,Wells Fargo,IL
Systems Engineering,School of Engineering,Bachelor's,5/15/2019,Site Supervisor,General Mills,ND
Economics - Business,Opus College of Business,Bachelor's,5/15/2025,Project Manager,Target,ND
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Inside Sales Rep,Accenture,FL
Physics,College of Arts and Sciences,Bachelor's,5/15/2022,Social Media Manager,3M,MN
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2019,Program Coordinator,UnitedHealth Group,CA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2024,Multimedia Specialist,Optum,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Research Scientist,AmeriCorps,ND
COJO Journalism,College of Arts and Sciences,Bachelor's,5/15/2020,Research Assistant,Ryan Companies,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Design Engineer,Securian Financial,MA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Underwriter,Sleep Number,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Procurement Specialist,EY,CA
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2025,Teaching Assistant,Osseo Area Schools,IA
Accounting,Opus College of Business,Bachelor's,5/15/2023,Underwriter,Boston Consulting Group,NE
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Policy Analyst,AmeriCorps,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2020,Office Manager,US Army,MN
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2023,Account Executive,Land O'Lakes,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2025,Teacher,St. Paul Public Schools,IA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2022,Design Engineer,PwC,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Financial Analyst,Securian Financial,MN
Data Science,School of Engineering,Bachelor's,5/15/2020,Software Engineer,Honeywell,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2021,DevOps Engineer,Deloitte,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Multimedia Specialist,Wells Fargo,IA
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2023,Tutor,Optum,OH
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2023,Legal Assistant,Deloitte,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Financial Analyst,PwC,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Account Manager,3M,TX
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Inside Sales Rep,Securian Financial,IA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2019,Software Engineer,IBM,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Data Scientist,Ameriprise Financial,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Scientist,Sleep Number,CA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Policy Analyst,Target (Tech),FL
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2019,HR Coordinator,PwC,WA
Elementary Education (K-6),School of Education,Bachelor's,5/15/2024,Case Manager,State of Minnesota,OH
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Civil Engineer,Target (Tech),IL
Economics - Business,Opus College of Business,Bachelor's,5/15/2022,Public Administrator,EY,WA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2021,Scientist,Cargill,IL
Social Work,School of Education,Bachelor's,5/15/2024,Teaching Assistant,McGough Construction,NE
COJO Journalism,College of Arts and Sciences,Bachelor's,5/15/2025,Multimedia Specialist,McGough Construction,MA
Biology,College of Arts and Sciences,Bachelor's,5/15/2025,Medical Assistant,CenterPoint Energy,CO
Psychology,College of Arts and Sciences,Bachelor's,5/15/2022,Auditor,University of St. Thomas,MN
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2024,Content Strategist,Land O'Lakes,WI
Educational Studies,School of Education,Bachelor's,5/15/2024,Social Worker,US Army,MA
Civil Engineering,School of Engineering,Bachelor's,5/15/2021,Instructor,Optum,WI
Civil Engineering,School of Engineering,Bachelor's,5/15/2020,Analytics Consultant,IBM,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Research Scientist,PwC,NY
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2020,Assistant,Deloitte,CA
Systems Engineering,School of Engineering,Bachelor's,5/15/2022,Analytics Consultant,McGough Construction,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2019,Account Executive,PwC,IA
Economics - Business,Opus College of Business,Bachelor's,5/15/2020,Social Media Manager,Medtronic,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Program Manager,Cargill,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,Legal Assistant,McKinsey,CO
Public Health,College of Arts and Sciences,Bachelor's,5/15/2025,Compliance Analyst,Boston Consulting Group,WA
International Business,Opus College of Business,Bachelor's,5/15/2025,Marketing Coordinator,Ryan Companies,MN
Social Work,School of Education,Bachelor's,5/15/2019,Clinical Research Associate,Ryan Companies,ND
Accounting,Opus College of Business,Bachelor's,5/15/2023,Field Engineer,PwC,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Auditor,Donaldson Company,FL
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2022,Health Coach,University of St. Thomas,MA
Civil Engineering,School of Engineering,Bachelor's,5/15/2022,Logistics Manager,Ryan Companies,SD
Biology,College of Arts and Sciences,Bachelor's,5/15/2025,Quantitative Analyst,Great River Energy,MN
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2025,Education Coordinator,Minneapolis Public Schools,IL
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2019,Social Media Manager,EY,WA
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2019,Recruiter,Wayzata Public Schools,ND
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2023,PR Specialist,Best Buy,IL
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Office Coordinator,Abbott Northwestern Hospital,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Inside Sales Rep,Ryan Companies,SD
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2021,Content Strategist,Sleep Number,TX
Economics - Business,Opus College of Business,Bachelor's,5/15/2020,Assistant Manager,3M,CA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,IT Analyst,UnitedHealth Group,MA
Economics,College of Arts and Sciences,Bachelor's,5/15/2024,Advisory Associate,KPMG,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2025,Health Coach,Toro Company,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Associate,Cargill,IA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Systems Administrator,Google,NE
Data Science,School of Engineering,Bachelor's,5/15/2020,Civil Engineer,Donaldson Company,CA
Software Engineering,School of Engineering,Bachelor's,5/15/2022,Estimator,Boston Consulting Group,CA
Computer Science,School of Engineering,Bachelor's,5/15/2024,Clinical Research Associate,Honeywell,NY
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Design Engineer,General Mills,WA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Real Estate Analyst,KPMG,GA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Analytics Consultant,Accenture,IL
Political Science,College of Arts and Sciences,Bachelor's,5/15/2022,Analytics Consultant,Deloitte,MA
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2025,Data Analyst,Medtronic,NY
English,College of Arts and Sciences,Bachelor's,5/15/2025,Graphic Designer,University of St. Thomas,MN
Nursing,College of Arts and Sciences,Bachelor's,5/15/2024,Creative Director,Allina Health,IA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Teacher,Donaldson Company,WI
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2020,Financial Analyst,RBC Wealth Management,IL
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Data Scientist,Deloitte,MN
Educational Studies,School of Education,Bachelor's,5/15/2025,Associate,Wayzata Public Schools,NY
Social Work,School of Education,Bachelor's,5/15/2023,Tutor,St. Paul Public Schools,WI
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Receptionist,Minneapolis Public Schools,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Project Engineer,CBRE Group,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Software Engineer,NextEra Energy,IA
Social Work,School of Education,Bachelor's,5/15/2020,Executive Assistant,Target,OH
Economics,College of Arts and Sciences,Bachelor's,5/15/2022,Grant Writer,UnitedHealth Group,WA
Operations Management,Opus College of Business,Bachelor's,5/15/2023,Recruiter,Children's Minnesota,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2020,Clinical Research Coordinator,Abbott Northwestern Hospital,CO
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Assistant Manager,Target (Tech),MN
Environmental Science,College of Arts and Sciences,Bachelor's,5/15/2023,Medical Assistant,AmeriCorps,MN
Data Science,School of Engineering,Bachelor's,5/15/2021,Instructor,UnitedHealth Group,WA
English,College of Arts and Sciences,Bachelor's,5/15/2019,Account Executive,McGough Construction,TX
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2020,Community Outreach Specialist,Securian Financial,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Program Manager,Boston Consulting Group,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2019,Estimator,Intel,CA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2021,HR Generalist,Ameriprise Financial,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,DevOps Engineer,Intel,MN
Software Engineering,School of Engineering,Bachelor's,5/15/2024,IT Analyst,Intel,OH
Manufacturing Engineering,School of Engineering,Bachelor's,5/15/2019,Business Development Associate,KPMG,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Business Development Associate,PwC,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,Account Executive,McKinsey,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Team Lead,Fastenal,ND
Accounting,Opus College of Business,Bachelor's,5/15/2025,Auditor,General Mills,NY
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2021,City Planner,Grant Thornton,MN
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2022,Multimedia Specialist,Optum,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Strategy Analyst,Optum,OH
Computer Engineering,School of Engineering,Bachelor's,5/15/2025,Inspector,3M,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2020,Legal Assistant,Grant Thornton,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Auditor,Ameriprise Financial,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,Compliance Analyst,Sleep Number,ND
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Operations Director,KPMG,NE
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2019,Civil Engineer,EY,MN
Accounting,Opus College of Business,Bachelor's,5/15/2024,Assistant Manager,Peace Corps,MN
Civil Engineering,School of Engineering,Bachelor's,5/15/2019,Account Manager,CBRE Group,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,City Planner,CBRE Group,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Lab Technician,Boston Consulting Group,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2021,Site Supervisor,EY,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Auditor,Optum,OH
Computer Science,School of Engineering,Bachelor's,5/15/2025,Medical Assistant,CenterPoint Energy,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Operations Analyst,Accenture,OH
Computer Science,School of Engineering,Bachelor's,5/15/2022,Compliance Analyst,Honeywell,ND
COJO Journalism,College of Arts and Sciences,Bachelor's,5/15/2021,Graphic Designer,Mortenson,FL
Social Work,School of Education,Bachelor's,5/15/2019,Grant Writer,UnitedHealth Group,NE
Public Health,College of Arts and Sciences,Bachelor's,5/15/2022,Grant Writer,Allina Health,TX
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2023,Lab Technician,RBC Wealth Management,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Education Coordinator,Sleep Number,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Underwriter,EY,SD
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Operations Analyst,Toro Company,CO
Civil Engineering,School of Engineering,Bachelor's,5/15/2025,DevOps Engineer,Great River Energy,OH
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Registered Nurse,Target,ND
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2019,Advisory Associate,Sleep Number,NY
Physics,College of Arts and Sciences,Bachelor's,5/15/2020,Research Scientist,Fairview,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Auditor,Osseo Area Schools,MN
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2023,Program Coordinator,IBM,WI
International Business,Opus College of Business,Bachelor's,5/15/2019,Receptionist,Allianz,CO
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Real Estate Associate,Ryan Companies,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Marketing Coordinator,KPMG,WA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2023,Associate,Minneapolis Public Schools,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2019,Design Engineer,McKinsey,MA
Operations Management,Opus College of Business,Bachelor's,5/15/2021,Analyst,Fastenal,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,DevOps Engineer,Medtronic,SD
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Program Coordinator,Accenture,SD
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Policy Analyst,Cargill,MN
Data Science,School of Engineering,Bachelor's,5/15/2019,IT Analyst,Target,MN
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2022,Contract Specialist,Cargill,IA
COJO Journalism,College of Arts and Sciences,Bachelor's,5/15/2021,PR Specialist,City of Minneapolis,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Team Lead,KPMG,TX
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2025,Physical Therapist,Children's Minnesota,WI
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Clinical Research Associate,Optum,ND
Middle/Secondary Education,School of Education,Bachelor's,5/15/2025,UX Designer,University of St. Thomas,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Operations Analyst,Cargill,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Mechanical Engineer,Fastenal,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Teaching Assistant,Deloitte,WI
Data Science,School of Engineering,Bachelor's,5/15/2023,Design Engineer,AWS,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Health Coach,Fairview,TX
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2024,Grant Writer,Land O'Lakes,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Social Worker,Abbott Northwestern Hospital,CO
Computer Science,School of Engineering,Bachelor's,5/15/2025,Data Scientist,Cargill,TX
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2019,Real Estate Associate,Accenture,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Web Developer,Allianz,MN
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2023,Government Affairs Specialist,Microsoft,ND
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2019,Teaching Assistant,Hennepin County,MA
History,College of Arts and Sciences,Bachelor's,5/15/2021,Community Outreach Specialist,EY,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2024,Systems Administrator,Ameriprise Financial,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Medical Assistant,AWS,GA
Sociology,College of Arts and Sciences,Bachelor's,5/15/2022,Policy Analyst,Fairview,IA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Benefits Analyst,Cargill,MN
Educational Studies,School of Education,Bachelor's,5/15/2023,Underwriter,Peace Corps,GA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2019,PR Specialist,Accenture,MA
Computer Engineering,School of Engineering,Bachelor's,5/15/2021,Software Engineer,Donaldson Company,MA
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Compliance Analyst,Ameriprise Financial,ND
Data Science,School of Engineering,Bachelor's,5/15/2024,Research Scientist,Medtronic,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Site Supervisor,Optum,IA
History,College of Arts and Sciences,Bachelor's,5/15/2022,Inspector,Grant Thornton,FL
Accounting,Opus College of Business,Bachelor's,5/15/2021,Social Media Manager,Wells Fargo,TX
Operations Management,Opus College of Business,Bachelor's,5/15/2025,Project Manager,Deloitte,MA
Human Resources Management,Opus College of Business,Bachelor's,5/15/2020,Social Media Manager,McGough Construction,MA
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2023,Health Coach,PwC,NY
Civil Engineering,School of Engineering,Bachelor's,5/15/2021,Research Assistant,Donaldson Company,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Brand Manager,CBRE Group,FL
